PC4	Gemeente code	Provincie code	Provincie name	Gemeente name
1011	363	27	Noord-Holland	Amsterdam
1012	363	27	Noord-Holland	Amsterdam
1013	363	27	Noord-Holland	Amsterdam
1014	363	27	Noord-Holland	Amsterdam
1015	363	27	Noord-Holland	Amsterdam
1016	363	27	Noord-Holland	Amsterdam
1017	363	27	Noord-Holland	Amsterdam
1018	363	27	Noord-Holland	Amsterdam
1019	363	27	Noord-Holland	Amsterdam
1021	363	27	Noord-Holland	Amsterdam
1022	363	27	Noord-Holland	Amsterdam
1023	363	27	Noord-Holland	Amsterdam
1024	363	27	Noord-Holland	Amsterdam
1025	363	27	Noord-Holland	Amsterdam
1026	363	27	Noord-Holland	Amsterdam
1027	363	27	Noord-Holland	Amsterdam
1028	363	27	Noord-Holland	Amsterdam
1031	363	27	Noord-Holland	Amsterdam
1032	363	27	Noord-Holland	Amsterdam
1033	363	27	Noord-Holland	Amsterdam
1034	363	27	Noord-Holland	Amsterdam
1035	363	27	Noord-Holland	Amsterdam
1036	363	27	Noord-Holland	Amsterdam
1037	363	27	Noord-Holland	Amsterdam
1041	363	27	Noord-Holland	Amsterdam
1042	363	27	Noord-Holland	Amsterdam
1043	363	27	Noord-Holland	Amsterdam
1044	363	27	Noord-Holland	Amsterdam
1045	363	27	Noord-Holland	Amsterdam
1046	363	27	Noord-Holland	Amsterdam
1047	363	27	Noord-Holland	Amsterdam
1051	363	27	Noord-Holland	Amsterdam
1052	363	27	Noord-Holland	Amsterdam
1053	363	27	Noord-Holland	Amsterdam
1054	363	27	Noord-Holland	Amsterdam
1055	363	27	Noord-Holland	Amsterdam
1056	363	27	Noord-Holland	Amsterdam
1057	363	27	Noord-Holland	Amsterdam
1058	363	27	Noord-Holland	Amsterdam
1059	363	27	Noord-Holland	Amsterdam
1060	363	27	Noord-Holland	Amsterdam
1061	363	27	Noord-Holland	Amsterdam
1062	363	27	Noord-Holland	Amsterdam
1063	363	27	Noord-Holland	Amsterdam
1064	363	27	Noord-Holland	Amsterdam
1065	363	27	Noord-Holland	Amsterdam
1066	363	27	Noord-Holland	Amsterdam
1067	363	27	Noord-Holland	Amsterdam
1068	363	27	Noord-Holland	Amsterdam
1069	363	27	Noord-Holland	Amsterdam
1071	363	27	Noord-Holland	Amsterdam
1072	363	27	Noord-Holland	Amsterdam
1073	363	27	Noord-Holland	Amsterdam
1074	363	27	Noord-Holland	Amsterdam
1075	363	27	Noord-Holland	Amsterdam
1076	363	27	Noord-Holland	Amsterdam
1077	363	27	Noord-Holland	Amsterdam
1078	363	27	Noord-Holland	Amsterdam
1079	363	27	Noord-Holland	Amsterdam
1081	363	27	Noord-Holland	Amsterdam
1082	363	27	Noord-Holland	Amsterdam
1083	363	27	Noord-Holland	Amsterdam
1086	363	27	Noord-Holland	Amsterdam
1087	363	27	Noord-Holland	Amsterdam
1091	363	27	Noord-Holland	Amsterdam
1092	363	27	Noord-Holland	Amsterdam
